Founder, Asia Transpacific Journeys	3		
www.FEDGuides.com	11		
Therapist, Makeover Expert and Dating & Confidence Coach at Se...	8		
Writer, Student, and Dreamer	1		
Founder of SustenanceGroup.org; Journalist covering music, hum...	2		
Founder and CEO, Zeel.com	1		
Kellee Maize is an internationally-renowned independent rapper...	1		
Founder and director, KamaDeva Yoga	1		
Mother, wife, financial analyst, writer and cancer survivor	4		
How is this possible? Teenagers in a consumer age and not only do you have everything you need, you don't actually want anything? I was surprised. And then I patted myself on the back.	1		
High School Teacher, Mother	1		
Certified addictions & eating disorders specialist, author	2		
Bestselling author, television host	2		
Founder and CEO, The Ommani Center for Integrative Medicine	3		
Co-Anchor, Weekend TODAY	1		
National Pilates Training Manager and Regional Pilates Manager...	1		
Director of Vaccine Delivery at The Bill & Melinda Gates Found...	1		
Founder of Neatorama	1		
Writer, activist, mom and executive director of North Jersey P...	1		
Actress and Author	1		
"Creator and Co-Author of NY Times Best Seller \"The Normal Bar\""	1		
Founder, A Sense of Home	1		
author of Misadventures of a Garden State Yogi	5		
Poet and digital marketing professional	1		
Award-winning budget travel site, Nomadic Matt's Travel Site	9		
Senior Director, Professional Relations, Lansinoh Laboratories	7		
Senior Editor for Projects & Investigations, The Huffington Post	3		
We liberate slaves and change the conditions that allow slaver...	2		
Hedge fund manager	2		
Books and Culture Reporter, HuffPost	1		
Member of the New York State Spare Seat Expedition	1		
We rate, educate, and advocate for kids, families, and schools.	51		
Doctor of Physical Therapy, Inventor of SMARTROLLER�	5		
Executive Director, Global Alliance to Prevent Prematurity and...	1		
Past president and CEO of the Duke University Health System	1		
writer, blogger, producer	4		
Provider of European Cycling Tours	5		
Prosecutor Supervisor Sex Crimes	1		
Stand-up comedian/writer/actor who lives in Los Angeles	1		
Jessie Next Door	7		
Life Transformation Coach, Founder of Center for Heart Living	1		
Citation Analyst, Thomson Reuters	1		
John Ireland works as a freelance journalist and filmmaker, ba...	1		
PR Professional with a Writing Problem	7		
Mom of 3, television journalist, entrepreneur, founder wherepa...	3		
I would be more than delighted to be a part of this movement. Why does a mental health issue need to be immobilizing before it is dealt with?	1		
Vice President, Entrepreneur and International Speaker	3		
"Professor and Author, \"A Womb With a View\""	1		
Neurologist, public health specialist, author	2		
Best-selling author, psychotherapist, VP@MindBodyNetwork.com	2		
Bestselling Author, Trainer, Blogger, Mom to a multi-species h...	10		
Founder, laurelandwolf.com	3		
Reinvention Career Coach & University Educator	1		
Social Justice Activist	4		
Teaching and Twaining	1		
Clinical Psychologist specializing in CBT for Anxiety, OCD and...	5		
Co-founder, Cure AT/RT Now	1		
Doctor, work-life expert, NY Times best selling author and key...	6		
CEO of Seeker Health, writer, student of mindfulness and humanity	4		
Owner, Hilary Young Creative, and Proud Working Mom	1		
Clinical psychologist and author	1		
his heart felt two things--	1		
National Communications Manager, Reboot	1		
Author, Speaker, Chief Happiness Officer	1		
Emmy Award-winning journalist	1		
on the block?	1		
Radio show hosted by DJ Ben Harvey and comedian Dave Rubin	6		
But I digress...	4		
Where Good Taste Meets Good Health	56		
"Nutritionist; Author, \"Eating by Design: The Individualized Fo..."	7		
Writer and photographer	11		
Author, Journalist, Autism Advocate	6		
Psychiatrist; Psychotherapist; Author, 'Master Your Sleep'	7		
Sports medicine physician, Hospital for Special Surgery, NYC	1		
Health consultant and writer specializing in prevention and ag...	31		
Creator of Transformative Therapy, SoulBlazing and Host of The...	17		
Tobe Report	2		
"Editor, HuffPost Becoming Fearless; Author, \"Exorcising Your Ex\""	3		
Board-Certified Nutritionist; Author, 'The Fat Flush Plan'	2		
You're gorgeous, why mask it with bleached blonde hair and heavy lipstick?	1		
FedEx Ground: $36.14	1		
I am a science journalist and author	1		
International model scout, blogger, ex-New York/Connecticut so...	1		
Acclaimed writer, activist, and gender pioneer	1		
I am a journalist, husband, father and human....	2		
Travel Through a Local Lens	19		
Writer and Producer, Haft Productions; Author, 'Nantucket: Por...	1		
"Author, \"The Will of a Man & The Way of a Woman\" (Barbour Books)"	1		
Sometimes things don't work out the way you want.	1		
Vice President of Communications at World Learning	1		
Executive director, Find Your Missing Child	5		
Nonprofit communications consultant/writer, currently living w...	1		
Effete urban journalist, gone to hayseed: StarvingofftheLand.com	2		
Chef Homaro Cantu	12		
Founding Team, GapJumpers	5		
Founder, Wake Up World Communications	1		
Author, Speaker, Blogger	5		
Author, Harley Loco	1		
Master-colorist to A-list Hollywood	2		
Dr. Harra is a best-selling author, psychologist, and relation...	20		
Student, University of Western Ontario	1		
Feminist psychotherapist and writer	2		
Founder and Editor-in-Chief, Healthy Travel	11		
Mom, copywriter, children's book author	1		
Associate Editor, HuffPost Travel	1		
Managing Editor at Writer's Digest; CN Traveler contributor; b...	1		
Health Columnist for the New York Daily News	1		
FoodFight	1		
Science writer; author, 'The 7 Laws of Magical Thinking'	1		
After having been given two live I have been living with stage...	1		
Comedy Writer, Producer, Feminist, and Weirdo	1		
Culinary Producer. Recipe Maker. Food Writer.	3		
Associate Director, Rural Organizing Project	1		
Largest online and mobile marketplace for lift tickets and oth...	46		
Founder, The Huffington Post; Founder and CEO, Thrive Global	25		
Law prof, author, global adventure-seeker, emerging outdoorswo...	31		
Neurologist, author, speaker, blogger, educator	15		
Actor, human rights advocate, and founder, FuelChange.net	1		
CEO, Crane.tv	4		
An international not-for-profit organization	3		
Author and Editor	2		
TV Host, Healthy Living Expert, & CEO of Halevy Life	16		
President, World Monuments Fund	1		
UN Secretary-General’s Special Envoy on Tuberculosis	3		
Emmy award-winning screenwriter, producer, author and creator ...	25		
I'm interested in the intersection of horse racing, the thorou...	1		
16-year-old pop star from Scotland	1		
Founder, Never Liked It Anyway	2		
Soprano and Co-Founder, Sing for Hope	1		
Life and Business Coach	64		
Pittsburgh Steelers, 2010 NFL Defensive Player of the Year	1		
Co-founder and CEO, www.talkspace.com	2		
Lynn O'Rourke Hayes is a travel and lifestyle columnist, an au...	3		
North American Regional Director, International Fund for Anima...	1		
Pediatrician, Advocate, Author	11		
Freelance Writer, Digital Consultant	1		
"Co-creator, \"The People and the Olive\" documentary"	1		
Author, Blogger, Spiritual Teacher, Psychic	2		
Singer and songwriter	1		
Bread & Salt Hospitality	2		
Natalie is the Founder and CEO of Saltar Consulting, a global ...	1		
Executive Project Analyst for the CEO at TOA Technologies	4		
Unfortunately, it seems I am in the hate camp.	1		
Health and fitness tips and recipes at rbgfitclub.com and natt...	1		
Chief Mamapreneur, Pearl Street Fitness	1		
Artist educator	1		
Founder, The Soteria Method™ - for Women	2		
Freelance Writer and creator of www.DebtRoundup.com	1		
Journalist; Founder/Editor, First Rate America: Choosing the G...	1		
President & Director, Center for Adolescent Research and Educa...	1		
"This weekend, Greek voters will decide in a referendum whether they will be force-fed more painful austerity, imposed by the jury of other European democracies, or, like Socrates, administer their own poison in a \"no\" vote that will likely push Greece out of the eurozone. Tragedy, too, such as we are witnessing today, had its origins in early Greek drama."	1		
Film critic at Mendelson's Memos, Valley Scene Magazine	23		
Destination Wedding Ceremony Designer and Celebrant	19		
Founder of What2WearWhere.com, Author Packing for Travel	9		
Online professional; Volunteer, Shriner's Hospital for Children	1		
Award-Winning Writer, Filmmaker	8		
Founder of projecthappiness.org, author, filmmaker	26		
Digestive Health & Nutrition Authority, Author, Editor, Teache...	4		
blues preacher | content junkie | doughnut lover	28		
Screenwriter, lecturer, author of LOVE ADDICT: SEX, ROMANCE AN...	1		
Founder, Millwright Design	2		
I am an Instructor at Harvard University and a consultant and ...	2		
Author, New York Times Bestseller 'QUIET: The Power of Introve...	2		
I am the Edtor In Chief for Starry Constellation Magazine and ...	1		
Financial Writer	1		
Founder, Deep Streams Institute and Coming Home Project	4		
Founder and Formulator of Opus Gaia	1		
Communications manager, Healthy Child, Healthy World	6		
Girl Versus Dough	10		
Former journalist; blogger, Movoto.com	1		
Author and retired police officer	1		
Author, journalist, writer, producer, director	2		
Founder, PsychCentral.com	1		
Sanfranmag.com	1		
Founding president, International Association of Yoga Therapis...	2		
Author, Stuffed and Starved	1		
IT Professional Turned Travel Guru	1		
Co-founder, the Unexpected Project	1		
Blogger, Starting Over at 24	1		
Writer, photographer, traveler, and dog lover	1		
Travel writer and editor	2		
Principal and founder, JABIN Software, LLC, the developer of i...	2		
Founder, Sensophy	1		
writer/producer	1		
Co-editor, The Hollywood Interview.com	1		
Brooklyn, New York	2		
Writer, teacher, translator	1		
Digital journalist	1		
Co-founder and Senior Director, Mabel's Labels Inc.	1		
Executive Director, MitoAction.org	1		
I refuse to let this happen again.	1		
Family lawyer	4		
Humorist, Author of The Official Dictionary of Sarcasm and The...	8		
Senior Editor, HuffPost Culture + Parenting	7		
Expert information about credit scoring, credit reporting and ...	42		
Writer; Author	1		
Chef, nutritionist, food writer,	6		
Law Professor	1		
"Author, \"Finding Frances\""	2		
Editor at DailyVenusDiva.com	4		
Lifestyle and career blog	3		
Author, divorce psychologist, and founder of the Judith Waller...	1		
Co-Founder of YogaStart	1		
"Nationally Syndicated Columnist and Author, \"Lost in Suburbia\""	3		
Dedicated researcher, presenter, mentor and community member i...	1		
Dating advice and relationship expert for men	1		
Senior Vice President; Director, Center for Healthy Aging	3		
Author, Editor, 21st century expat living in the Middle East.	4		
Writer and Blogger, www.jessicafhinton.com	3		
Founding director, Center for WorkLife Law; Distinguished prof...	2		
New York Times and USA Today bestselling author	2		
Retired Brigadier General, Chief Marketing Officer at RELYANT LLC	1		
Author and therapist	10		
Travel, Luxury Lifestyle & Adventure Writer, Global Photograph...	4		
Founder and CEO of #EmergingUS and Define American	1		
Professor of Electrical Engineering and Computer Science, Emer...	1		
Authors, Marriage Counselors	17		
Chef Gino!	1		
New York Times Bestselling Author and Certified Special Educat...	3		
"Host, \"Passionate Justice\", Our Salon Radio, Saturdays/Wednesd..."	1		
Leading authority on global living, working and retirement ove...	2		
LGBT relationship and lifestyle writer	2		
Political Analyst and Civil Rights Activist	1		
Founder and CEO of StudentsFirst	1		
songwriter, mother, lover and dreamer	2		
Director of Content Marketing at Solace	1		
Founder - Vacationkids Travel Agency and Director at the Famil...	3		
Celebrity chef, television host, author	1		
NYTimes Bestselling Author, 'One Thousand Gifts: A Dare to Liv...	1		
Writer and Social Critic; Graduate Student, McMaster University	3		
Award-winning screenwriter, humorist,  blogger and marketing c...	2		
President of Music Publishing Administration at TuneCore	1		
Partner-SierraMaya360/PartnersTrust/Prev-Access Hollywood	2		
Leadership Mentor + Change Creator	2		
"Nobel Laureate Joe Stiglitz and Martin Guzman argue that Greece will be better off administering the poison by its own hand. As they point out by examining the Argentine default in 2001, there is \"life after debt and default.\" Manolis Glezos, the elderly firebrand of Syriza, writes from Athens that, in a democracy, \"the people are the measure\" of their fate. (continued)"	1		
Blogger, JessicaGottlieb.com	1		
Personal finance source for women	73		
Writer, Producer, Activist	1		
Makeup artist	21		
Director, Center for the Study of Hate and Extremism, Californ...	5		
Washington Post contributor, children's book author	32		
Philosophy instructor, stress-management instructor, resilienc...	1		
Chief Sustainability Officer, City of Los Angeles. pLAn.lamayo...	2		
DJ/Producer/Musician	1		
Lead Editor for Conan O'Brien	3		
EXECUTIVE DIRECTOR	4		
President, Climate Crisis Solutions	3		
Captain, USMC	2		
Author, blogger, singer/songwriter, member of the band The Ins...	1		
Certified Integral Coach	2		
Attorney, Editor	2		
Author, 'The Sedona Method'	3		
Executive Director, The Partnership for Maternal, Newborn and ...	3		
Fine artist; Outdoorsman	1		
Doctoral candidate, University of Georgia; Political Committee...	3		
Women's Rights Activist	4		
Freedom Finder, Undergrad at Pomona College	1		
Founder and Strategy Director @ Sightful (www.sightful.io), fa...	3		
Author, Speaker, Consultant and Executive Business Coach	14		
travel culture worldwide	1		
Dance, theatre, and arts critic, based in San Francisco.	7		
Father. Partner. Writer. Goaltender. All things snarky and pol...	1		
Two-time Caldecott medalist and avid bike rider	1		
Travel Writer, Founder of Go Eat Give	7		
Poet, essayist, blogger	2		
'Billboard' Top 20 recording artist, TV actor, songwriter, DJ,...	1		
Keynote speaker, bestselling author, communication expert	4		
Director of the Young Writers Project (YWP)	1		
mother, wife, writer	13		
Empowering, inspiring, uniting kids through music	1		
Founder and CEO, The Toby Center for Family Transitions, Inc.	1		
Chef Consultant	2		
Author, Speaker, Oneness Maven, NYC	1		
Author of Creative Grieving: A Hip Chick's Path from Loss to Hope	1		
President of Mental Health Association of NYC	1		
They fish, hunt for pearls and sell their handcrafts to tourists. Like the local Thais, they have a calm, respectful way about them.	1		
While the euro tumbles, northern and southern Europe are bitterly at odds over austerity policies and continuing high unemployment. And a newly aggressive Russia is challenging European values on its eastern frontier. (continued)	1		
Style & Culture Columnist	14		
Author, Tai Chi Gold Medalist, Meditation Guide, Wellness Expert	12		
On-Air Personality,  Founder @WhatsTrending	24		
Associate Business Editor, The Huffington Post	1		
Director, Alice Drum Women's Center, Franklin and Marshall Col...	1		
Author, 'My 52 Weeks of Worship: Lessons from a Global, Spirit...	1		
Community manager, Bay Area Moms	1		
Associate Professor of Human Development	5		
Founder and director of PeoplesHub	2		
Author, humorist, speaker, and former hospice social worker.	19		
Overland traveler and writer	5		
Airline worker	1		
Professor, NYP/Columbia University and Host, The Dr. Oz Show	2		
"Emmy Award-Winning Stylist and author of \"The Color of Style\""	1		
Partner, Stroock & Stroock & Lavan, LLP; Author	3		
Founder and chief scientist, Rocky Mountain Institute	1		
Bruce E. Levine, a practicing clinical psychologist, writes an...	1		
Best-Selling Author, Spiritual Medium	5		
Member, Florida Artists Hall of Fame, Former Editor-in-Chief, ...	6		
Life Coach	1		
Wife, Mother, Writer, Business co-owner @ Sprinkler Media	3		
Mesothelioma Cancer Survivor and Advocate	3		
Seattle-based writer & storyteller	2		
Blogger, Columnist, Carbohydratist	2		
Author, photographer	1		
Content marketing professional	2		
Chief HR Officer, Bright Horizons	1		
Home Editor of Sunset magazine	2		
CEO and Founder, TalkSession, Inc.	1		
Author, Yellow: Race in America Beyond Black and White	2		
Writer, cancer survivor, and historian in training in Los Angeles	1		
Former Policy Director of the Federal Trade Commission and pub...	1		
Executive Director at INET, Argentine Ministry of Education	1		
That's true whether for cellphones, email, health records, tax transcripts or the personnel files of  tens of millions of public servants.	1		
Chief Marketing Officer, Cladwell	3		
foodandwine.com	66		
Founder & CEO of Kuli Kuli, a mission-driven moringa company	3		
Scholar and Environmentalist; Pres. and CEO, Bullitt Foundation	1		
International Writer, Blockchain, and Tech Advisor	2		
Investigative News Producer, Author, Intuitive	2		
Author of Loose Change and JOAN: Forty Years of Life, Loss, an...	1		
Public Relations Consultant/Writer	1		
Physician, Entrepreneur, Co-Founder: Herbal Water Inc.	28		
Writer, editor, essayist	2		
Chief Strategy and Brand Officer, Bon Appetit Management Company	3		
Head of content strategy, Novus Asia	1		
Veteran physician and author, 'My Son and the Afterlife: Conve...	1		
Women & Parents Senior Reporter, HuffPost	1		
LGBT health expert, public speaker, writer for hire & fun, tra...	1		
Recording Artist, Downtown Records	1		
Writer, Transformation Specialist, Recovering Amercian, Food L...	8		
Senior Writer, Union of Concerned Scientists	1		
Director of Media Unlimited	4		
Author, Synchronized Breathing	1		
Marketing & media maven; change agent; yogini; single mom	1		
Digital Innovation Fellow, The Huffington Post	1		
Owner and Director of Research at Runnymede Capital Management	4		
Host of the Digital Parent Podcast	1		
Independent journalist and activist; author, 'Eating Fire: My ...	2		
Founder and Editor-in-Chief of Bitchtopia.com	1		
Luxury Maven on a Quest for the Best at KatieLara.com	3		
Analyst, Global Affairs	1		
"No doubt President Obama's proposed Trans-Pacific Partnership needs some fixing once on the \"fast-track,\" notably concerning the weight it gives to corporate prerogatives. But something more is going on. In Europe, too, there is mounting opposition to the proposed trans-Atlantic trade pact with the U.S., as well as the rise of anti-foreigner and anti-EU parties."	1		
Technology journalist	19		
Media Personality, Celebrity Designer, Style Expert	28		
Guest Writer	35		
TV Presenter And Author Of Arctic	1		
Founder, 40:20 Vision; 7x7 Mentoring; Co-Creator 40 Women to W...	1		
Freelance photographer and cinematographer	3		
Founder of the Blue Cure prostate cancer nonprofit. Cancer pre...	7		
Internationally recognized pioneer in yoga and emotional heali...	6		
Senior Style Editor for The Huffington Post	4		
Bestselling author of Survival Investing: How to Prosper Amid ...	12		
humor columnist and author of Lauren Takes Leave	7		
Journalist, Author, Botanical Shakespeare, HarperCollins/Harpe...	4		
CEO, Great Performances	10		
Home Exchange Expert	10		
travel writer	1		
President, Editor-in-Chief of HollywoodLife.com	6		
Charity trumpeter & fan of the family	8		
Professor, Pace Law School	2		
Assistant Clinical Professor of Psychiatry, University of Cali...	1		
The youngest American to visit every country	5		
Dad, husband, serial-entrepreneur, author of Uncertainty	1		
Author, TV Producer, Sociologist at Yale University	1		
Multimedia Producer, Ambrica Productions/ The Story Exchange	2		
Director, Knowledge Ecology International	1		
Artist/Activist/Cosmic Sister	5		
Trans* advocate and activist in secular and faith communities	1		
Blogger, writer, and cancer thriver	2		
Physician, Author, Nichiren Buddhist	1		
Gastroenterologist, Arizona Digestive Health	1		
Editorial Director, MyMove.com	4		
Fulbright Scholar, India	1		
Dr. Taz MD, Creator of Superwomen, Power Kids and Healthy Fami...	8		
Writer at thearenaupdate.com	3		
Director, The Missing MDG initiative	2		
writer, teacher, mom x4	1		
Writer, Traveler, Publisher, Deliberate Journeyer at GiveLiveE...	1		
CEO, Born Free USA	1		
their moral responsibility to solve our differences?	1		
Advocate for justice, ecumenist, grassroots organizer	8		
Custom private guided tour company	12		
Journalist, entertainment reporter, travel writer and media di...	20		
Podiatrist, CEO / President Instant Arches Foot Products Inc. ...	10		
Director of User Growth, Dashlane	1		
Science Journalist, Author, Advocate	1		
Director of the Skoll Centre for Social Entrepreneurship at Sa...	1		
World Champion Latin and Ballroom Dancer, 'Dancing With the St...	1		
Caves are places to hibernate. It's time to wake up.	1		
Psychotherapist, marriage counselor	1		
Founder and National Coordinator, White Ribbon Alliance for Sa...	2		
"Businessman, Entrepreneur, Author, \"Man Shoes\""	3		
SEO and Marketing Specialist	1		
Founder, President Rue Morgue Magazine	1		
Director, The Comprehensive Transplant Center at Cedars-Sinai ...	1		
Artist, curator, pop and occult culture journalist; hostess Su...	3		
Author, SQ21: The 21 Skills of Spiritual Intelligence	7		
Director, Content Strategy & Programming, The Huffington Post	1		
Wine writer and reviewer	30		
Lawyer-turned-writer, Check out the teaser for her new webseri...	1		
Psychologist/Author of Reinventing the Meal, Eating t...	5		
I am an author/jewelry writer	1		
Professor of Law, Elizabeth Haub Law School, Pace University	1		
CEO & Founder, PsychArmor Institute; LMFT, LPCC	1		
Luxury hotel deals, First Class for free, Top Travel Credit Cards	1		
Michael Green is CEO of the Center for Environmental Health, a...	2		
Founder and CEO of A Life Story Foundation	1		
AOL Ad Sales Director Turned World Traveler	2		
Editor and Chief - Reality Check News & information Desk	2		
Author, Coach, Publisher	1		
Experts in the field of relationships.	37		
Writer living in San Salvador	1		
Varda Meyers Epstein is a mother of 12, a sometimes performer,...	6		
Teacher and Cultural Critic	1		
CEO and Co-Founder, TheSuitest	1		
Author, Speaker,  Women's Advocate & Ambassador for Women in G...	1		
Writer, critic, satirist, futurist, urbanist, porkatarian.	1		
Founder & CEO, Newport Academy	2		
Law Student, Yogi, Writer	1		
Chairman of the Department of Integrative Medicine, Beth Israe...	2		
Fotografin, Street Style, Fashion	2		
Now democratically elected governments in Athens and Kiev -- and the responses in Berlin and Moscow -- are challenging both post-Cold War arrangements. Angela Merkel, as chancellor of Europe's unrivaled power, has become, for better and worse, the crisis manager in the middle. (continued)	1		
"But hey, we reasoned: We're progressive. Plus, the number one tip for clearing up baby acne is to dab on a little \"liquid gold,\" as new mothers call it."	1		
World travelers and storytellers at UncorneredMarket.com	1		
Writer, pop-culture geek, gad-about-town	1		
CEO, Credit Union National Association	3		
"Executive leadership coach, columnist, author of \"The Charisma..."	1		
Certified Financial Planner	1		
Urban Gerontologist/Social Worker/Consultant in Environmental,...	2		
Eco-conscious lifestyle brand entrepreneur | Clean Design expert	3		
President, Freedom to Marry; author, 'Why Marriage Matters'	2		
Writer - Wordsmith - Creator	1		
Clinical Dietician, Kings County Hospital Center; Co-host/foun...	1		
Executive Director, Miami Coalition for the Homeless	1		
Director of the Kripalu Institute for Extraordinary Living	1		
A 14 time Emmy nominee and host of Be Less Stupid	8		
Columnist, Radio Host, Gay Dad and Activist	5		
Writer, teacher, unicorn wrangler.	2		
Author, 'A Clergy Guide to End of Life Issues'	2		
Performer, author and group fitness instructor	2		
Media artist, Mindfulness coach, Lover of nature	2		
Energy & Climate Policy Expert	2		
Leading Privacy Advocate, CEO of MeWe	3		
Blogger, 'Preemie Babies 101'	1		
Host, The Mom Hour Podcast	1		
